RunNum,GCD,LiveTime
119840,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119840_0321_3_20_GCD_update_rde.i3.zst,28799.66
119860,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119860_0324_3_20_GCD_update_rde.i3.zst,23579.65
119870,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119870_0327_3_20_GCD_update_rde.i3.zst,28799.77
119880,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119880_0329_3_20_GCD_update_rde.i3.zst,28799.95
119900,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119900_0401_3_20_GCD_update_rde.i3.zst,28799.7
119940,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119940_0405_3_20_GCD_update_rde.i3.zst,28799.99
119950,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119950_0409_3_20_GCD_update_rde.i3.zst,28799.93
119960,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119960_0411_3_20_GCD_update_rde.i3.zst,4778.64
119970,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119970_0413_3_20_GCD_update_rde.i3.zst,28800.4
119980,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119980_0416_3_20_GCD_update_rde.i3.zst,28799.72
119990,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119990_0417_3_20_GCD_update_rde.i3.zst,5220.74
120010,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00120010_0423_3_20_GCD_update_rde.i3.zst,28799.85
120020,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00120020_0424_3_20_GCD_update_rde.i3.zst,1001.06
120030,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120030_0427_1_21_GCD_update_rde.i3.zst,28793.51
120040,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00120040_0430_3_20_GCD_update_rde.i3.zst,28799.9
120050,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00120050_0502_3_20_GCD_update_rde.i3.zst,28799.61
120090,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00120090_0506_3_20_GCD_update_rde.i3.zst,28800.21
120120,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00120120_0512_3_20_GCD_update_rde.i3.zst,28800.03
120150,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00120150_0514_3_20_GCD_update_rde.i3.zst,786.53
120160,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120160_0516_1_20_GCD_update_rde.i3.zst,28803.79
120170,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120170_0518_1_20_GCD_update_rde.i3.zst,28803.46
120180,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120180_0521_1_20_GCD_update_rde.i3.zst,28803.49
120190,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120190_0524_1_20_GCD_update_rde.i3.zst,28803.79
120200,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120200_0527_1_20_GCD_update_rde.i3.zst,28803.46
120230,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120230_0530_1_20_GCD_update_rde.i3.zst,2026.93
120240,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120240_0531_1_20_GCD_update_rde.i3.zst,4684.98
120250,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120250_0602_1_20_GCD_update_rde.i3.zst,28804.15
120260,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120260_0605_1_20_GCD_update_rde.i3.zst,28803.22
120310,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120310_0611_1_20_GCD_update_rde.i3.zst,28803.29
120320,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120320_0614_1_20_GCD_update_rde.i3.zst,28548.65
120330,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120330_0616_6_20_GCD_update_rde.i3.zst,28803.17
120370,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120370_0621_1_20_GCD_update_rde.i3.zst,28802.49
120380,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120380_0625_1_20_GCD_update_rde.i3.zst,28803.47
120390,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120390_0628_1_20_GCD_update_rde.i3.zst,28802.85
120400,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120400_0630_6_20_GCD_update_rde.i3.zst,28804.27
120410,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120410_0703_1_20_GCD_update_rde.i3.zst,28803.16
120420,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120420_0707_1_20_GCD_update_rde.i3.zst,28807.47
120430,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120430_0710_1_20_GCD_update_rde.i3.zst,28803.58
120440,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120440_0713_1_20_GCD_update_rde.i3.zst,28803.18
120450,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120450_0716_6_20_GCD_update_rde.i3.zst,28803.39
120460,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2012_data_Run00120460_0718_1_20_GCD_update_rde.i3.zst,28803.89
